Entity,Code,Year,Other renewables,Solar,Modern biofuels,Wind,Hydropower,Traditional biomass
World,OWID_WRL,1800,0,0,0,0,0,5556
World,OWID_WRL,1810,0,0,0,0,0,5833
World,OWID_WRL,1820,0,0,0,0,0,6111
World,OWID_WRL,1830,0,0,0,0,0,6389
World,OWID_WRL,1840,0,0,0,0,0,6944
World,OWID_WRL,1850,0,0,0,0,0,7222
World,OWID_WRL,1860,0,0,0,0,0,6944
World,OWID_WRL,1870,0,0,0,0,0,6944
World,OWID_WRL,1880,0,0,0,0,0,6944
World,OWID_WRL,1890,0,0,0,0,14,6667
World,OWID_WRL,1900,0,0,0,0,17,6111
World,OWID_WRL,1910,0,0,0,0,33,6389
World,OWID_WRL,1920,0,0,0,0,64,6944
World,OWID_WRL,1930,0,0,0,0,131,7222
World,OWID_WRL,1940,0,0,0,0,192,7222
World,OWID_WRL,1950,0,0,0,0,333,7500
World,OWID_WRL,1960,0,0,0,0,689,8889
World,OWID_WRL,1965,17.985231,0,9.029861,0,923.19806,9162
World,OWID_WRL,1966,19.806007,0,9.209844,0,983.81696,9218
World,OWID_WRL,1967,19.98657,0,9.383716,0,1005.7424,9274
World,OWID_WRL,1968,22.120045,0,9.5538,0,1059.2887,9331
World,OWID_WRL,1969,23.257965,0,9.723982,0,1121.7424,9387
World,OWID_WRL,1970,25.701897,0,13.501495,0,1174.6497,9444
World,OWID_WRL,1971,27.888294,0,13.562147,0,1227.2422,9499
World,OWID_WRL,1972,29.888775,0,14.823111,0,1284.629,9553
World,OWID_WRL,1973,32.09585,0,14.250557,0,1303.013,9608
World,OWID_WRL,1974,34.289085,0,14.334716,0,1431.2317,9663
World,OWID_WRL,1975,34.81208,0,13.688392,0,1448.8834,9718
World,OWID_WRL,1976,38.79105,0,13.75119,0,1443.1366,9774
World,OWID_WRL,1977,40.89204,0,18.318535,0,1491.6724,9830
World,OWID_WRL,1978,43.29665,0,23.178776,0.003,1614.3823,9886
World,OWID_WRL,1979,46.499256,0,28.023214,0.006,1695.1862,9943
World,OWID_WRL,1980,49.717464,0,32.78612,0.0105,1731.6493,10000
World,OWID_WRL,1981,53.48617,0,29.747923,0.0105,1768.9036,10106
World,OWID_WRL,1982,61.708954,0,37.556244,0.0185,1800.9081,10213
World,OWID_WRL,1983,68.35493,0.003,49.01924,0.03279495,1877.7689,10321
World,OWID_WRL,1984,76.34615,0.006311111,57.806427,0.044755556,1941.3734,10430
World,OWID_WRL,1985,78.702576,0.011747475,68.410095,0.064220205,1979.2437,10541
World,OWID_WRL,1986,85.44338,0.015183838,84.202995,0.13883132,2006.073,10653
World,OWID_WRL,1987,91.51602,0.01060303,85.33012,0.19537677,2033.1924,10765
World,OWID_WRL,1988,94.16091,0.010195959,89.5602,0.3315798,2098.3489,10879
World,OWID_WRL,1989,104.67236,0.26222324,95.68924,2.6497767,2087.587,10995
World,OWID_WRL,1990,117.22435,0.38824996,106.56911,3.6324706,2158.622,11111
World,OWID_WRL,1991,122.26321,0.50522286,110.64683,4.086107,2208.5442,11243
World,OWID_WRL,1992,131.15991,0.4665791,108.705635,4.732812,2208.3147,11376
World,OWID_WRL,1993,135.48085,0.5566775,114.34006,5.704169,2341.3206,11511
World,OWID_WRL,1994,140.67743,0.5969829,124.101776,7.13173,2355.9055,11647
World,OWID_WRL,1995,146.64236,0.63888276,131.0704,8.272123,2483.389,11785
World,OWID_WRL,1996,150.7037,0.69922996,125.784515,9.215601,2516.815,11925
World,OWID_WRL,1997,161.41173,0.7496558,130.03065,12.028216,2561.3557,12066
World,OWID_WRL,1998,168.2174,0.811852,133.38396,15.92926,2580.9333,12209
World,OWID_WRL,1999,176.64807,0.9052879,135.24736,21.226898,2600.4688,12414
World,OWID_WRL,2000,184.92102,1.0581311,132.50877,31.409548,2646.6814,12500
World,OWID_WRL,2001,192.07533,1.4220114,131.42494,38.380005,2578.609,12500
World,OWID_WRL,2002,206.76979,1.7970146,149.3146,52.38179,2626.1453,12470
